BatchNumber	PaymentNumber	PaymentDate	PaymentAmount	PaymentCurrency	VendorNumber	LocationCode	PaymentType	TransactionNumber	PaymentDescription	OriginatingAccountCode	FICode	CustomField1	CustomField2	CustomField3	CustomField4	CustomField5	InvoiceNumber	InvoiceDate	InvoiceDueDate	InvoiceOriginalAmt	InvoiceGrossAmt	InvoiceDiscountAmt	InvoiceNetAmt	PONumber	InvoiceDescription	CustomField1	CustomField2	CustomField3	CustomField4	CustomField5	test
Batch002	Deluxe16	2019-03-07T00:00:00	1310.0000	USD	VOLVO001	PRIMARY	USBCHK			40520697		CF1	CF2	CF3	CF4	CF5	42-48-100A	01-02-2019T00:00:00	2018-09-18T00:00:00	1310	1310	0	1310	3007794	NOV 17 RENT	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe17	2019-03-07T00:00:00	6237.0000	USD	CUTDYN	PRIMARY	USBCHK			40520699		CF1	CF2	CF3	CF4	CF5	L076914	01-02-2019T00:00:00	2018-09-18T00:00:00	6237	6237	0	6237	3016665	Oct 2017 Excess calls	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe18	2019-03-07T00:00:00	4962.5000	USD	TATA001	PRIMARY	USBCHK			40520699		CF1	CF2	CF3	CF4	CF5	L076051	01-02-2019T00:00:00	2018-09-18T00:00:00	4962.5	4962.5	0	4962.5	3016655	Dec 2017 Triage Fee	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe19	2019-03-07T00:00:00	270.6000	USD	JAGUAR001	PRIMARY	USBCHK			40520714		CF1	CF2	CF3	CF4	CF5	117 649 9676 2 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	270.6	270.6	0	270.6	3016661	117 649 9676 2	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe20	2019-03-07T00:00:00	35.4100	USD	VOLVO001	PRIMARY	USBCHK			40520682		CF1	CF2	CF3	CF4	CF5	4 500 1836 1001 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	35.41	35.41	0	35.41	3015613	4 500 1836 1001	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe21	2019-03-07T00:00:00	876.3200	USD	AGMAC	PRIMARY	USBCHK			40520708		CF1	CF2	CF3	CF4	CF5	116061750-1242408-5 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	876.32	876.32	0	876.32	3015977	116061750-1242408-5	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe22	2019-03-07T00:00:00	1069.3600	USD	ADPINC	PRIMARY	USBCHK			40520723		CF1	CF2	CF3	CF4	CF5	568395458	01-02-2019T00:00:00	2018-09-18T00:00:00	1069.36	1069.36	0	1069.36	3016420	51-0010034353-0	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe23	2019-03-07T00:00:00	288.5600	USD	AUDI001	PRIMARY	USBCHK			40520713		CF1	CF2	CF3	CF4	CF5	3-2100-5704-1196 10/17	01-02-2019T00:00:00	2018-09-18T00:00:00	288.56	288.56	0	288.56	3016674	3-2100-5704-1196	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe24	2019-03-07T00:00:00	0.0000	USD	ATLFAS	PRIMARY	USBCHK			40520721		CF1	CF2	CF3	CF4	CF5	4.00E+09	01-02-2019T00:00:00	2018-09-18T00:00:00	55.41	55.41	0	0	3016676	NULL	CF1	CF2	CF3	CF4	CF5	1
Batch002	Deluxe25	2019-03-07T00:00:00	-100.00	USD	AVIALL	PRIMARY	USBCHK			40520709		CF1	CF2	CF3	CF4	CF5	1100718884	01-02-2019T00:00:00	2018-09-18T00:00:00	1248.92	1248.92	0	-100	3016747	NULL	CF1	CF2	CF3	CF4	CF5	1
